MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterQual,ExterCond,Foundation,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,GrLivArea,FullBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,PavedDrive,MoSold,YrSold,SaleType,SaleCondition,SalePrice
20.0,186641.26585577757,11200.0,177526.0560522696,162895.42864864864,176679.91456903127,177358.8269362577,174008.3174904943,2,136793.13513513515,180544.67460317462,177573.58892733563,181533.3168032787,173044.18112947658,5.0,5.0,1965.0,1965,206094.0541958042,176563.76987447697,159924.63513513515,164280.28502415458,2,2,149508.12223974764,178375.568627451,4,1,182896.38943028485,1040.0,1040.0,1,3.0,1.0,2,5.0,7,2,2,2008,171367.35477505918,173311.0876460768,129500.0
60.0,186641.26585577757,11924.0,177526.0560522696,200291.10640495867,176679.91456903127,177358.8269362577,174008.3174904943,2,288322.5779220779,180544.67460317462,177573.58892733563,181533.3168032787,203636.7393258427,9.0,5.0,2005.0,2006,206094.0541958042,176563.76987447697,148734.88461538462,154805.59210526315,4,2,217630.31607418857,178375.568627451,4,1,182896.38943028485,1182.0,2324.0,3,4.0,1.0,4,10.0,7,2,7,2006,254032.98770491802,251881.22,340037.5
20.0,186641.26585577757,12968.0,177526.0560522696,223401.43902439025,176679.91456903127,177358.8269362577,174008.3174904943,2,136793.13513513515,180544.67460317462,177573.58892733563,181533.3168032787,173044.18112947658,5.0,6.0,1962.0,1962,206094.0541958042,176563.76987447697,159924.63513513515,168112.38732394367,2,2,149508.12223974764,178375.568627451,2,1,182896.38943028485,912.0,912.0,1,2.0,1.0,2,4.0,7,2,9,2008,171367.35477505918,173311.0876460768,144000.0
20.0,186641.26585577757,10652.0,177526.0560522696,200291.10640495867,176679.91456903127,177358.8269362577,174008.3174904943,2,197107.34,180544.67460317462,177573.58892733563,181533.3168032787,173044.18112947658,7.0,5.0,2006.0,2007,170094.8115687993,176563.76987447697,208407.1941747573,208990.51785714287,3,2,217630.31607418857,178375.568627451,4,1,182896.38943028485,1494.0,1494.0,2,3.0,1.0,3,7.0,7,2,8,2007,254032.98770491802,251881.22,279500.0
20.0,186641.26585577757,10920.0,177526.0560522696,200291.10640495867,176679.91456903127,177358.8269362577,177408.80608365018,2,145825.02444444445,180544.67460317462,177573.58892733563,181533.3168032787,173044.18112947658,6.0,5.0,1960.0,1960,206094.0541958042,176563.76987447697,149016.80681818182,149386.43691588784,2,2,149508.12223974764,178375.568627451,2,1,182896.38943028485,1253.0,1253.0,1,2.0,1.0,2,5.0,7,2,5,2008,171367.35477505918,173311.0876460768,157000.0
45.0,125457.08256880734,6120.0,177526.0560522696,162895.42864864864,176679.91456903127,177358.8269362577,177408.80608365018,2,124834.05172413793,180544.67460317462,177573.58892733563,181533.3168032787,110150.0,7.0,7.5,1929.0,2001,170094.8115687993,176563.76987447697,147215.9781553398,147579.0228426396,2,2,131366.67465753425,178375.568627451,4,1,122196.89361702128,854.0,854.0,1,2.0,1.0,2,5.0,7,2,7,2007,171367.35477505918,173311.0876460768,132000.0
20.0,186641.26585577757,11241.0,177526.0560522696,200291.10640495867,176679.91456903127,177358.8269362577,213260.81914893616,2,145825.02444444445,180544.67460317462,177573.58892733563,181533.3168032787,173044.18112947658,6.0,7.0,1970.0,1970,170094.8115687993,176563.76987447697,147215.9781553398,147579.0228426396,2,2,149508.12223974764,178375.568627451,4,1,182896.38943028485,1004.0,1004.0,1,2.0,1.0,2,5.0,7,2,3,2010,171367.35477505918,173311.0876460768,149000.0
90.0,186641.26585577757,10791.0,177526.0560522696,162895.42864864864,176679.91456903127,177358.8269362577,174008.3174904943,2,136793.13513513515,180544.67460317462,177573.58892733563,133541.07692307694,173044.18112947658,4.0,5.0,1967.0,1967,170094.8115687993,176563.76987447697,149016.80681818182,149386.43691588784,2,2,107365.625,178375.568627451,2,1,182896.38943028485,1296.0,1296.0,2,2.0,1.0,2,6.0,7,2,10,2006,171367.35477505918,173311.0876460768,90000.0
20.0,186641.26585577757,13695.0,177526.0560522696,162895.42864864864,176679.91456903127,177358.8269362577,174008.3174904943,2,186555.7966101695,138400.0,177573.58892733563,181533.3168032787,173044.18112947658,5.0,5.0,2004.0,2004,170094.8115687993,176563.76987447697,208407.1941747573,208990.51785714287,2,2,217630.31607418857,178375.568627451,4,1,182896.38943028485,1114.0,1114.0,1,3.0,1.0,3,6.0,7,2,6,2008,171367.35477505918,173311.0876460768,159000.0
20.0,186641.26585577757,7560.0,177526.0560522696,162895.42864864864,176679.91456903127,177358.8269362577,174008.3174904943,2,145825.02444444445,180544.67460317462,177573.58892733563,181533.3168032787,173044.18112947658,5.0,6.0,1958.0,1965,206094.0541958042,176563.76987447697,191693.25,168112.38732394367,2,2,149508.12223974764,178375.568627451,2,1,182896.38943028485,1339.0,1339.0,1,3.0,1.0,2,6.0,6,2,5,2009,143973.2558139535,142517.09405940594,139000.0
60.0,186641.26585577757,14215.0,177526.0560522696,200291.10640495867,176679.91456903127,177358.8269362577,177408.80608365018,2,288322.5779220779,180544.67460317462,177573.58892733563,181533.3168032787,203636.7393258427,8.0,5.0,2005.0,2006,170094.8115687993,176563.76987447697,208407.1941747573,208990.51785714287,3,2,217630.31607418857,178375.568627451,4,1,182896.38943028485,1158.0,2376.0,3,4.0,1.0,3,9.0,7,2,11,2006,254032.98770491802,251881.22,325300.0
45.0,125457.08256880734,7449.0,177526.0560522696,162895.42864864864,143104.07936507938,177358.8269362577,174008.3174904943,2,100123.78378378379,180544.67460317462,177573.58892733563,181533.3168032787,110150.0,7.0,7.0,1930.0,1950,170094.8115687993,176563.76987447697,147215.9781553398,147579.0228426396,2,2,217630.31607418857,178375.568627451,4,1,107675.44444444444,1108.0,1108.0,1,3.0,1.0,3,6.0,7,0,6,2007,171367.35477505918,173311.0876460768,139400.0
20.0,186641.26585577757,9742.0,177526.0560522696,162895.42864864864,176679.91456903127,177358.8269362577,174008.3174904943,2,197107.34,180544.67460317462,177573.58892733563,181533.3168032787,173044.18112947658,8.0,5.0,2002.0,2002,206094.0541958042,176563.76987447697,208407.1941747573,208990.51785714287,3,2,217630.31607418857,178375.568627451,4,1,182896.38943028485,1795.0,1795.0,2,3.0,1.0,3,7.0,7,2,9,2008,171367.35477505918,173311.0876460768,230000.0
120.0,125457.08256880734,4224.0,177526.0560522696,162895.42864864864,176679.91456903127,177358.8269362577,174008.3174904943,2,98576.4705882353,180544.67460317462,177573.58892733563,181260.05263157896,173044.18112947658,5.0,7.0,1976.0,1976,170094.8115687993,176563.76987447697,217102.38524590165,217920.75833333333,2,2,217630.31607418857,178375.568627451,2,1,182896.38943028485,1060.0,1060.0,1,3.0,1.0,2,6.0,7,2,6,2007,171367.35477505918,173311.0876460768,129900.0
20.0,186641.26585577757,8246.0,177526.0560522696,200291.10640495867,176679.91456903127,177358.8269362577,174008.3174904943,2,136793.13513513515,180544.67460317462,177573.58892733563,181533.3168032787,173044.18112947658,5.0,7.5,1968.0,2001,170094.8115687993,176563.76987447697,175896.43055555556,168112.38732394367,2,3,149508.12223974764,178375.568627451,4,1,182896.38943028485,1060.0,1060.0,1,3.0,1.0,3,6.0,7,2,5,2010,171367.35477505918,173311.0876460768,154000.0
20.0,186641.26585577757,14230.0,177526.0560522696,162895.42864864864,176679.91456903127,177358.8269362577,177408.80608365018,2,288322.5779220779,180544.67460317462,177573.58892733563,181533.3168032787,173044.18112947658,8.0,5.0,2007.0,2007,170094.8115687993,176563.76987447697,208407.1941747573,208990.51785714287,3,2,217630.31607418857,178375.568627451,4,1,182896.38943028485,1600.0,1600.0,2,3.0,1.0,3,7.0,7,2,7,2009,171367.35477505918,173311.0876460768,256300.0
20.0,186641.26585577757,7200.0,177526.0560522696,162895.42864864864,176679.91456903127,177358.8269362577,177408.80608365018,2,145825.02444444445,180544.67460317462,177573.58892733563,181533.3168032787,173044.18112947658,5.0,7.0,1951.0,2000,170094.8115687993,176563.76987447697,147215.9781553398,147579.0228426396,2,2,149508.12223974764,178375.568627451,2,1,182896.38943028485,900.0,900.0,1,3.0,1.0,3,5.0,7,2,5,2010,171367.35477505918,173311.0876460768,134800.0
20.0,186641.26585577757,11478.0,177526.0560522696,162895.42864864864,176679.91456903127,177358.8269362577,174008.3174904943,2,288322.5779220779,180544.67460317462,177573.58892733563,181533.3168032787,173044.18112947658,8.0,5.0,2007.0,2008,170094.8115687993,176563.76987447697,208407.1941747573,208990.51785714287,3,2,217630.31607418857,178375.568627451,4,1,182896.38943028485,1704.0,1704.0,2,3.0,1.0,3,7.0,7,2,5,2010,171367.35477505918,173311.0876460768,306000.0
20.0,186641.26585577757,16321.0,177526.0560522696,200291.10640495867,176679.91456903127,177358.8269362577,213260.81914893616,2,145825.02444444445,180544.67460317462,177573.58892733563,181533.3168032787,173044.18112947658,5.0,6.0,1957.0,1997,170094.8115687993,176563.76987447697,149016.80681818182,149386.43691588784,2,2,149508.12223974764,178375.568627451,2,1,182896.38943028485,1600.0,1600.0,1,2.0,1.0,2,6.0,7,2,12,2006,171367.35477505918,173311.0876460768,207500.0
30.0,125457.08256880734,6324.0,177526.0560522696,200291.10640495867,176679.91456903127,177358.8269362577,174008.3174904943,2,124834.05172413793,142475.4814814815,96750.0,181533.3168032787,173044.18112947658,4.0,6.0,1927.0,1950,170094.8115687993,176563.76987447697,149016.80681818182,149386.43691588784,2,2,131366.67465753425,178375.568627451,1,0,182896.38943028485,520.0,520.0,1,1.0,1.0,1,4.0,7,2,5,2008,171367.35477505918,173311.0876460768,68500.0
70.0,74528.0,8500.0,177526.0560522696,162895.42864864864,176679.91456903127,177358.8269362577,174008.3174904943,2,100123.78378378379,142475.4814814815,177573.58892733563,181533.3168032787,203636.7393258427,4.0,4.0,1920.0,1950,148909.0909090909,176563.76987447697,191693.25,190821.0,2,1,131366.67465753425,178375.568627451,2,0,182896.38943028485,649.0,1317.0,1,3.0,1.0,2,6.0,7,0,7,2008,171367.35477505918,173311.0876460768,40000.0
20.0,186641.26585577757,8544.0,177526.0560522696,200291.10640495867,176679.91456903127,177358.8269362577,213260.81914893616,2,136793.13513513515,180544.67460317462,177573.58892733563,181533.3168032787,173044.18112947658,5.0,6.0,1966.0,2006,170094.8115687993,176563.76987447697,159924.63513513515,164280.28502415458,2,2,149508.12223974764,178375.568627451,3,1,182896.38943028485,1228.0,1228.0,1,3.0,1.0,3,6.0,7,2,6,2008,171367.35477505918,173311.0876460768,149350.0
20.0,186641.26585577757,11049.0,177526.0560522696,162895.42864864864,176679.91456903127,177358.8269362577,177408.80608365018,2,197107.34,180544.67460317462,177573.58892733563,181533.3168032787,173044.18112947658,8.0,5.0,2007.0,2007,170094.8115687993,176563.76987447697,208407.1941747573,208990.51785714287,3,2,217630.31607418857,178375.568627451,4,1,182896.38943028485,1234.0,1234.0,2,3.0,1.0,3,7.0,7,2,1,2008,171367.35477505918,173311.0876460768,179900.0
20.0,186641.26585577757,10552.0,177526.0560522696,200291.10640495867,176679.91456903127,177358.8269362577,174008.3174904943,2,145825.02444444445,180544.67460317462,177573.58892733563,181533.3168032787,173044.18112947658,5.0,5.0,1959.0,1959,206094.0541958042,176563.76987447697,191693.25,190821.0,2,2,149508.12223974764,178375.568627451,3,1,182896.38943028485,1700.0,1700.0,1,4.0,1.0,3,6.0,7,2,4,2010,171367.35477505918,173311.0876460768,165500.0
120.0,186641.26585577757,7313.0,177526.0560522696,162895.42864864864,176679.91456903127,177358.8269362577,174008.3174904943,2,288322.5779220779,180544.67460317462,177573.58892733563,181260.05263157896,173044.18112947658,9.0,5.0,2005.0,2005,206094.0541958042,176563.76987447697,149016.80681818182,149386.43691588784,4,2,217630.31607418857,178375.568627451,4,1,182896.38943028485,1561.0,1561.0,2,2.0,1.0,4,6.0,7,2,8,2007,171367.35477505918,173311.0876460768,277500.0
60.0,186641.26585577757,13418.0,177526.0560522696,162895.42864864864,176679.91456903127,177358.8269362577,174008.3174904943,2,288322.5779220779,180544.67460317462,177573.58892733563,181533.3168032787,203636.7393258427,8.0,5.0,2004.0,2005,170094.8115687993,176563.76987447697,208407.1941747573,208990.51785714287,3,2,217630.31607418857,178375.568627451,4,1,182896.38943028485,1132.0,2452.0,3,4.0,1.0,3,9.0,7,2,9,2006,171367.35477505918,173311.0876460768,309000.0
20.0,186641.26585577757,10859.0,177526.0560522696,162895.42864864864,176679.91456903127,177358.8269362577,177408.80608365018,2,197107.34,180544.67460317462,177573.58892733563,181533.3168032787,173044.18112947658,5.0,5.0,1994.0,1995,170094.8115687993,176563.76987447697,208407.1941747573,208990.51785714287,2,2,217630.31607418857,178375.568627451,4,1,182896.38943028485,1097.0,1097.0,1,3.0,1.0,2,6.0,7,2,6,2009,171367.35477505918,173311.0876460768,145000.0
20.0,186641.26585577757,8532.0,177526.0560522696,162895.42864864864,176679.91456903127,177358.8269362577,174008.3174904943,2,145825.02444444445,180544.67460317462,177573.58892733563,181533.3168032787,173044.18112947658,5.0,6.0,1954.0,1990,206094.0541958042,176563.76987447697,147215.9781553398,147579.0228426396,2,2,149508.12223974764,178375.568627451,3,1,182896.38943028485,1297.0,1297.0,1,3.0,1.0,2,5.0,7,2,10,2009,171367.35477505918,173311.0876460768,153000.0
20.0,186641.26585577757,7922.0,177526.0560522696,162895.42864864864,176679.91456903127,177358.8269362577,174008.3174904943,2,145825.02444444445,180544.67460317462,177573.58892733563,181533.3168032787,173044.18112947658,5.0,7.0,1953.0,2007,170094.8115687993,176563.76987447697,208407.1941747573,208990.51785714287,2,3,149508.12223974764,178375.568627451,2,1,182896.38943028485,1057.0,1057.0,1,3.0,1.0,3,5.0,7,2,1,2010,171367.35477505918,142517.09405940594,109000.0
90.0,186641.26585577757,6040.0,177526.0560522696,162895.42864864864,176679.91456903127,177358.8269362577,174008.3174904943,2,128219.7,180544.67460317462,177573.58892733563,133541.07692307694,173044.18112947658,4.0,5.0,1955.0,1955,170094.8115687993,176563.76987447697,107385.55,168112.38732394367,2,2,217630.31607418857,178375.568627451,2,0,97333.33333333333,1152.0,1152.0,2,2.0,1.0,1,6.0,7,0,6,2008,171367.35477505918,104125.0,82000.0
20.0,186641.26585577757,8658.0,177526.0560522696,162895.42864864864,176679.91456903127,177358.8269362577,174008.3174904943,2,145825.02444444445,180544.67460317462,177573.58892733563,181533.3168032787,173044.18112947658,6.0,5.0,1965.0,1965,170094.8115687993,176563.76987447697,147215.9781553398,147579.0228426396,2,2,149508.12223974764,178375.568627451,4,1,182896.38943028485,1324.0,1324.0,2,3.0,1.0,2,6.0,7,2,12,2006,171367.35477505918,142517.09405940594,160000.0
20.0,186641.26585577757,16905.0,177526.0560522696,162895.42864864864,176679.91456903127,177358.8269362577,174008.3174904943,2,239529.3552631579,180544.67460317462,177573.58892733563,181533.3168032787,173044.18112947658,5.0,6.0,1959.0,1959,170094.8115687993,176563.76987447697,208407.1941747573,208990.51785714287,2,3,149508.12223974764,178375.568627451,3,1,182896.38943028485,1328.0,1328.0,1,2.0,1.0,2,5.0,7,1,7,2007,171367.35477505918,173311.0876460768,170000.0
85.0,186641.26585577757,9180.0,177526.0560522696,200291.10640495867,176679.91456903127,177358.8269362577,213260.81914893616,2,186555.7966101695,180544.67460317462,177573.58892733563,181533.3168032787,135074.48648648648,5.0,7.0,1983.0,1983,170094.8115687993,176563.76987447697,159924.63513513515,164280.28502415458,2,2,149508.12223974764,178375.568627451,3,1,182896.38943028485,884.0,884.0,1,2.0,1.0,3,5.0,7,2,12,2007,171367.35477505918,173311.0876460768,144000.0
20.0,186641.26585577757,9200.0,177526.0560522696,200291.10640495867,176679.91456903127,177358.8269362577,213260.81914893616,2,197107.34,180544.67460317462,177573.58892733563,181533.3168032787,173044.18112947658,5.0,6.0,1975.0,1980,206094.0541958042,176563.76987447697,208407.1941747573,208990.51785714287,2,2,149508.12223974764,178375.568627451,2,1,182896.38943028485,938.0,938.0,1,3.0,1.0,2,5.0,7,2,7,2008,171367.35477505918,173311.0876460768,130250.0
20.0,186641.26585577757,7945.0,177526.0560522696,162895.42864864864,176679.91456903127,177358.8269362577,174008.3174904943,2,145825.02444444445,180544.67460317462,177573.58892733563,181533.3168032787,173044.18112947658,5.0,6.0,1959.0,1959,170094.8115687993,176563.76987447697,191693.25,147579.0228426396,2,2,149508.12223974764,178375.568627451,4,1,122196.89361702128,1150.0,1150.0,1,3.0,1.0,2,6.0,7,2,5,2006,171367.35477505918,173311.0876460768,141000.0
120.0,186641.26585577757,7658.0,177526.0560522696,162895.42864864864,176679.91456903127,177358.8269362577,174008.3174904943,2,288322.5779220779,180544.67460317462,177573.58892733563,181260.05263157896,173044.18112947658,9.0,5.0,2005.0,2005,206094.0541958042,176563.76987447697,149016.80681818182,149386.43691588784,4,2,217630.31607418857,178375.568627451,4,1,182896.38943028485,1752.0,1752.0,2,2.0,1.0,4,6.0,7,2,2,2010,171367.35477505918,173311.0876460768,319900.0
50.0,186641.26585577757,12822.0,177526.0560522696,200291.10640495867,176679.91456903127,177358.8269362577,213260.81914893616,2,156270.1224489796,180544.67460317462,177573.58892733563,181533.3168032787,142396.44805194804,7.0,5.0,2003.0,2003,170094.8115687993,176563.76987447697,208407.1941747573,208990.51785714287,3,2,217630.31607418857,178375.568627451,4,1,182896.38943028485,1518.0,2149.0,1,1.0,1.0,3,6.0,7,2,8,2009,171367.35477505918,142517.09405940594,239686.0
20.0,213539.5923076923,11096.0,177526.0560522696,162895.42864864864,176679.91456903127,177358.8269362577,174008.3174904943,2,224056.5465116279,180544.67460317462,177573.58892733563,181533.3168032787,173044.18112947658,8.0,5.0,2006.0,2006,170094.8115687993,176563.76987447697,208407.1941747573,208990.51785714287,3,2,217630.31607418857,178375.568627451,4,1,182896.38943028485,1656.0,1656.0,2,3.0,1.0,3,7.0,7,2,7,2007,171367.35477505918,173311.0876460768,249700.0
145.0,125457.08256880734,4456.0,177526.0560522696,162895.42864864864,176679.91456903127,177358.8269362577,174008.3174904943,2,127030.9424778761,180544.67460317462,177573.58892733563,128432.25806451614,203636.7393258427,4.0,5.0,1920.0,2008,170094.8115687993,176563.76987447697,149016.80681818182,149386.43691588784,2,2,131366.67465753425,178375.568627451,3,1,182896.38943028485,736.0,1452.0,2,2.0,1.0,2,8.0,7,0,6,2009,254032.98770491802,251881.22,113000.0
20.0,186641.26585577757,7742.0,177526.0560522696,162895.42864864864,176679.91456903127,177358.8269362577,174008.3174904943,2,136793.13513513515,180544.67460317462,177573.58892733563,181533.3168032787,173044.18112947658,5.0,7.0,1966.0,1966,170094.8115687993,176563.76987447697,159924.63513513515,164280.28502415458,2,2,149508.12223974764,178375.568627451,4,1,182896.38943028485,955.0,955.0,1,3.0,1.0,2,6.0,7,2,1,2007,171367.35477505918,173311.0876460768,127000.0
60.0,186641.26585577757,13869.0,177526.0560522696,223401.43902439025,176679.91456903127,177358.8269362577,177408.80608365018,2,192380.29746835443,180544.67460317462,177573.58892733563,181533.3168032787,203636.7393258427,6.0,6.0,1997.0,1997,170094.8115687993,176563.76987447697,208407.1941747573,208990.51785714287,2,2,217630.31607418857,178375.568627451,3,1,182896.38943028485,794.0,1470.0,2,3.0,1.0,2,6.0,7,2,7,2007,171367.35477505918,173311.0876460768,177000.0
50.0,125457.08256880734,6240.0,177526.0560522696,162895.42864864864,176679.91456903127,177358.8269362577,174008.3174904943,2,124834.05172413793,180544.67460317462,177573.58892733563,181533.3168032787,142396.44805194804,6.0,6.0,1934.0,1950,170094.8115687993,176563.76987447697,147215.9781553398,147579.0228426396,2,2,217630.31607418857,178375.568627451,2,1,182896.38943028485,816.0,1176.0,1,3.0,1.0,2,6.0,7,2,9,2006,171367.35477505918,173311.0876460768,114500.0
90.0,125457.08256880734,8472.0,130190.5,223401.43902439025,143104.07936507938,177358.8269362577,177408.80608365018,1,100123.78378378379,212400.0,177573.58892733563,133541.07692307694,173044.18112947658,5.0,5.0,1963.0,1963,170094.8115687993,176563.76987447697,147215.9781553398,147579.0228426396,1,2,149508.12223974764,178375.568627451,2,0,182896.38943028485,816.0,816.0,1,2.0,1.0,2,5.0,7,2,5,2010,171367.35477505918,173311.0876460768,110000.0
20.0,186641.26585577757,17673.5,177526.0560522696,200291.10640495867,201440.97222222222,177358.8269362577,174008.3174904943,2,234685.22727272726,180544.67460317462,177573.58892733563,181533.3168032787,173044.18112947658,9.0,5.0,1981.0,1987,170094.8115687993,291102.0833333333,148734.88461538462,154805.59210526315,3,2,149508.12223974764,178375.568627451,3,1,182896.38943028485,1842.0,1842.0,0,0.5,1.0,3,5.0,7,2,11,2006,171367.35477505918,173311.0876460768,340037.5
80.0,186641.26585577757,7134.0,177526.0560522696,162895.42864864864,143104.07936507938,177358.8269362577,174008.3174904943,1,145825.02444444445,180544.67460317462,177573.58892733563,181533.3168032787,166627.03846153847,5.0,5.0,1955.0,1955,170094.8115687993,176563.76987447697,149016.80681818182,149386.43691588784,2,2,149508.12223974764,178375.568627451,2,1,182896.38943028485,1360.0,1360.0,1,3.0,1.0,2,6.0,6,2,2,2007,171367.35477505918,173311.0876460768,130000.0
20.0,186641.26585577757,10175.0,177526.0560522696,200291.10640495867,176679.91456903127,177358.8269362577,174008.3174904943,2,145825.02444444445,180544.67460317462,177573.58892733563,181533.3168032787,173044.18112947658,6.0,5.0,1964.0,1964,170094.8115687993,176563.76987447697,159924.63513513515,168112.38732394367,2,2,149508.12223974764,178375.568627451,3,1,182896.38943028485,1425.0,1425.0,2,3.0,1.0,2,7.0,7,2,7,2008,171367.35477505918,173311.0876460768,180500.0
145.0,213539.5923076923,2645.0,177526.0560522696,162895.42864864864,176679.91456903127,177358.8269362577,174008.3174904943,2,224056.5465116279,180544.67460317462,177573.58892733563,135911.62790697673,203636.7393258427,8.0,5.0,1999.0,2000,170094.8115687993,176563.76987447697,149016.80681818182,149386.43691588784,3,2,217630.31607418857,178375.568627451,4,1,182896.38943028485,983.0,1739.0,2,3.0,1.0,3,7.0,7,2,8,2009,171367.35477505918,142517.09405940594,172500.0
60.0,186641.26585577757,11645.0,177526.0560522696,200291.10640495867,176679.91456903127,177358.8269362577,177408.80608365018,2,197107.34,180544.67460317462,177573.58892733563,181533.3168032787,203636.7393258427,7.0,5.0,2004.0,2004,170094.8115687993,176563.76987447697,208407.1941747573,208990.51785714287,3,2,217630.31607418857,178375.568627451,4,1,182896.38943028485,860.0,1720.0,2,3.0,1.0,3,7.0,7,2,8,2006,171367.35477505918,173311.0876460768,196500.0
